,Close,High,Low,Open,Volume,SMA_10,SMA_30,BB_Width,Log_Return,Lag_1,Lag_2,Target
2020-02-13,1575.0999755859375,1575.0999755859375,1570.199951171875,1570.199951171875,74,1568.4799926757812,1562.0166666666667,0.025488337579138397,0.004900535612764321,0.0011490897071122928,-0.005795625430667941,1
2020-02-14,1582.699951171875,1582.699951171875,1574.800048828125,1575.800048828125,68,1568.4599853515624,1563.9566650390625,0.02455825735444756,0.004813471680398959,0.004900535612764321,0.0011490897071122928,1
2020-02-18,1600.0,1604.300048828125,1579.800048828125,1579.800048828125,310,1570.739990234375,1565.65,0.02957884669812657,0.010871410739791924,0.004813471680398959,0.004900535612764321,1
2020-02-19,1607.5,1610.5,1599.699951171875,1600.5999755859375,542,1576.4499877929688,1567.0266682942708,0.03490662243364984,0.004676547883901803,0.010871410739791924,0.004813471680398959,1
2020-02-20,1616.5999755859375,1621.0,1603.0,1606.5,117,1582.32998046875,1568.519999186198,0.04095260758786715,0.005644986085864686,0.004676547883901803,0.010871410739791924,1
2020-02-21,1644.5999755859375,1645.0,1619.300048828125,1619.300048828125,186,1590.27998046875,1571.4266642252603,0.055550880430935985,0.01717201549417072,0.005644986085864686,0.004676547883901803,1
2020-02-24,1672.4000244140625,1686.5999755859375,1650.0,1657.0,435,1600.6599853515625,1575.45,0.0755369623654844,0.01676255638881947,0.01717201549417072,0.005644986085864686,0
2020-02-25,1646.9000244140625,1653.699951171875,1632.300048828125,1645.0999755859375,409,1607.8799926757813,1578.430000813802,0.08267951375749978,-0.015364987376213718,0.01676255638881947,0.01717201549417072,0
2020-02-26,1640.0,1648.0999755859375,1636.4000244140625,1644.0,1990,1615.3199951171875,1581.4833333333333,0.08637454991886181,-0.004198505886171601,-0.015364987376213718,0.01676255638881947,0
2020-02-27,1640.0,1658.0,1638.5,1641.0999755859375,707,1622.5799926757813,1584.7366658528647,0.08902077361153525,0.0,-0.004198505886171601,-0.015364987376213718,0
2020-02-28,1564.0999755859375,1642.5,1564.0999755859375,1640.300048828125,289,1621.4799926757812,1585.1366658528646,0.09062338318405906,-0.047385678747064744,0.0,-0.004198505886171601,1
2020-03-02,1592.300048828125,1608.300048828125,1574.300048828125,1583.9000244140625,537,1622.4400024414062,1586.5800008138021,0.09033492134760554,0.017868979456354687,-0.047385678747064744,0.0,1
2020-03-03,1642.0999755859375,1645.300048828125,1594.0,1594.5,610,1626.65,1589.3566650390626,0.09308708885561978,0.030796353102671873,0.017868979456354687,-0.047385678747064744,0
2020-03-04,1641.0999755859375,1645.9000244140625,1631.300048828125,1645.4000244140625,83,1630.0099975585938,1592.1799967447917,0.09113984158668542,-0.0006091618212690988,0.030796353102671873,0.017868979456354687,1
2020-03-05,1666.4000244140625,1672.9000244140625,1637.199951171875,1637.300048828125,154,1634.9900024414062,1595.8833292643228,0.09319618188562889,0.01529889178860684,-0.0006091618212690988,0.030796353102671873,1
2020-03-06,1670.800048828125,1686.199951171875,1647.199951171875,1670.800048828125,175,1637.610009765625,1599.4233317057292,0.09530503645382751,0.002636957249874577,0.01529889178860684,-0.0006091618212690988,1
2020-03-09,1674.5,1701.5999755859375,1657.699951171875,1696.0999755859375,161,1637.8200073242188,1602.869999186198,0.09675214468739708,0.0022120303868409007,0.002636957249874577,0.01529889178860684,0
2020-03-10,1659.0999755859375,1674.5999755859375,1643.0,1671.5999755859375,48,1639.0400024414062,1605.613330078125,0.09524899382264675,-0.009239341300194449,0.0022120303868409007,0.002636957249874577,0
2020-03-11,1641.4000244140625,1666.5,1635.0,1656.5999755859375,47,1639.1800048828125,1608.019999186198,0.08931114699324397,-0.010725720864527515,-0.009239341300194449,0.0022120303868409007,0
